,regularizer1,regularizer2,epochs,price_r_score,return_r_score,price_mse,return_mse
37,0.0,0.01,100.0,0.4584717419238221,-0.0018983709461424247,2.3427563793275288e-05,1.7631791175041932e-05
38,0.0,0.05,100.0,0.3813739084089368,-0.0028004287063623234,3.3705751765116165e-05,2.5427262152233114e-05
39,0.0,0.1,100.0,0.8273911529815596,-0.024247288518621568,4.163852316669277e-06,3.211066784564555e-06
40,0.0,0.3,100.0,0.6261088054703516,-0.006991183615357333,1.2251582123679853e-05,9.316354408928332e-06
41,0.0,0.5,100.0,0.8524499604680351,-0.023503620990964258,3.488531529021368e-06,2.686085675195773e-06
42,0.01,0.0,100.0,0.45737091308553823,-0.005496778319438178,2.4726935622993557e-05,1.8822521797136986e-05
43,0.01,0.01,100.0,0.5605878137373296,-0.015254359168705767,1.6192079227487055e-05,1.2276406578526889e-05
44,0.01,0.05,100.0,0.6601612185111847,-0.023245842030965802,1.0272288171515045e-05,7.817951539629862e-06
45,0.01,0.1,100.0,0.6183305798053975,-0.0049923598658747625,1.2625657391150168e-05,9.526824558587628e-06
46,0.01,0.3,100.0,0.916498579893957,-0.04619723475292892,1.859732324364981e-06,1.4617904932212523e-06
47,0.01,0.5,100.0,0.9408776552879894,-0.0892294699457421,1.2836107685749969e-06,1.0380766915868402e-06
48,0.05,0.0,100.0,0.41556585389455025,-0.0037847391459813196,2.8296087008283714e-05,2.1168472015037585e-05
49,0.05,0.01,100.0,0.35415499824374874,-0.002070617980223677,3.759743936132769e-05,2.7747853681525156e-05
50,0.05,0.05,100.0,0.7284533045666491,-0.017576081086175144,7.6021649584552565e-06,5.822548111865798e-06
51,0.05,0.1,100.0,0.8433412866698515,-0.012842308874386976,3.80409520757866e-06,2.886995760255901e-06
52,0.05,0.3,100.0,0.8818824087230924,-0.035577561525016455,2.746870539160271e-06,2.120852844229562e-06
53,0.05,0.5,100.0,0.9566221459713152,-0.13269850560766416,9.176077647129995e-07,7.500392968870287e-07
54,0.1,0.0,100.0,0.47019198692744446,-0.0037374523861331,2.2638907974048235e-05,1.7340621260687375e-05
55,0.1,0.01,100.0,0.6433901835859068,-0.006228096100686864,1.146895755355046e-05,8.806597662972933e-06
56,0.1,0.05,100.0,0.5624130243568135,-0.004729842400152506,1.572781254995677e-05,1.1879914286606428e-05
57,0.1,0.1,100.0,0.8287369986083022,-0.028909495039811217,4.239955607482291e-06,3.2768565997767365e-06
58,0.1,0.3,100.0,0.8568905074872339,-0.03544274786768575,3.3596192458228915e-06,2.594038307170466e-06
