,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
39,-0.30066603,-0.11661877,0.027580585,0.08104627,-0.23079832,-0.12042029,0.13131748,-0.1374217,-0.20587574,-0.06914129,-0.05988959,0.16179451,-0.021124544,-0.070475176,-0.10489507,0.14975052,0.07594291,0.11815609,0.11629523,-0.2522081
40,0.09971582,0.16557565,0.13690218,0.1538684,-0.095191844,0.06161561,0.12027903,-0.14357951,0.22264117,-0.048090752,0.097209394,-0.32974175,-0.12774457,0.1677679,0.110509865,-0.18624644,0.20609389,0.12524012,-0.16363774,-0.15537442
41,0.045213517,0.02779077,-0.22484083,0.07762344,0.19216995,-0.0043126424,-0.034453638,0.24917789,0.02643088,0.12877367,-0.41453266,-0.08318261,0.25551364,-0.24212371,0.23014942,-0.004214374,-0.058128797,-0.23653468,0.012469419,0.2671346
42,0.24048333,0.12856914,-0.23459665,-0.22980423,0.021202214,-0.061035912,-0.12550299,-0.055744365,0.1769688,-0.0033466807,0.0653119,0.3033975,0.10612757,0.18027888,-0.34000883,0.034399405,0.18958011,0.004706846,-0.044609632,0.032045078
43,-0.013318002,-0.12162578,-0.162482,-0.29456705,-0.18707415,0.054699596,0.07845969,-0.28359658,-0.19689664,-0.19399858,-0.05525417,0.016831106,-0.27723745,-0.19859901,0.04871902,0.4501762,-0.34858412,-0.055759706,-0.12037899,-0.14959027
44,0.1680154,0.09074107,0.09549727,-0.21991709,0.19072878,-0.15924539,0.1394301,-0.021781167,0.09475179,0.016088769,0.07310304,-0.36140388,0.05842801,-0.19509317,0.03875521,-0.17663871,-0.16880126,-0.15881379,0.2950175,0.097929
45,0.036766358,0.10403932,0.39814222,0.029488785,-0.03216417,0.22911361,-0.3295578,0.41621158,0.03390483,0.27302784,0.15609217,-0.0014485157,-0.2609891,0.08805709,-0.116119206,-0.1533882,-0.0035197786,0.17959386,0.010438039,0.11977973
46,-0.3202388,-0.21239224,-0.2600667,0.3375187,-0.021073192,-0.3450808,0.06556182,-0.003046754,-0.304832,0.2519919,-0.14784087,0.1386225,0.019390995,-0.07429343,-0.0869986,-0.21202758,0.2890036,0.19051532,-0.06820136,-0.27825433
47,0.04380681,-0.0074805995,-0.11383787,0.22733055,0.15951379,0.06486601,0.16777948,-0.1258696,0.25363445,-0.2476764,-0.07590589,-0.105481826,-0.1926719,0.29087397,0.023412235,-0.10486992,0.40170392,0.31198728,-0.28831837,0.17878342
48,-0.1556031,-0.07048762,0.12720603,-0.23553185,-0.1730773,0.119276226,0.21171115,0.030136432,0.277425,-0.24180926,-0.28573033,-0.04843944,0.2038686,-0.052160308,0.055152375,0.18930686,-0.01959502,0.041936602,0.18826263,0.13478974
49,0.30657366,0.101448074,-0.3138108,-0.38993984,-0.19330639,-0.08498908,-0.042825524,-0.12458,0.23345949,0.18344614,0.06935365,-0.1375497,0.23317465,-0.03100183,0.027275996,-0.06501343,-0.21231037,-0.29871783,-0.18209052,-0.23858511
50,0.31135148,0.33441046,0.075602785,0.09013566,0.24803995,0.22913566,-0.21382476,0.06047288,-0.1852077,-0.1591276,0.11017288,0.08289199,-0.15664308,-0.11695871,0.053039495,0.2932814,-0.2574674,-0.34849694,0.09577957,0.33698103
51,-0.1640045,-0.12536173,0.0048366254,-0.205069,-0.11087768,-0.19756784,-0.07175518,0.0976588,-0.22649322,0.21207993,-0.023160364,0.1849734,0.033934742,-0.21162368,-0.22602889,0.048331622,-0.12071618,0.01027681,0.2400843,-0.16120565
52,0.08541412,-0.13294637,-0.2826183,0.013411885,0.09229417,-0.17538102,0.0095011555,-0.13312557,-0.08851647,0.15006068,0.113143906,-0.15454009,-0.29378048,0.036469433,-0.008249643,-0.18613875,0.04520471,0.15788768,-0.32320264,-0.14906499
